flex_index,flex_middle,flex_ring,accel_x,accel_y,accel_z,gyro_x,gyro_y,label
4095,2861,3440,108,15860,1288,-923,741,good
4095,2672,3091,-4,15324,1452,-1366,2921,good
4095,2698,3533,-1196,16188,1328,-1624,-597,good
4095,2768,3305,-244,16932,2184,-376,1320,good
4093,2513,3495,52,17344,1592,861,617,good
4095,2505,3105,-280,16052,2088,-406,1804,good
4095,2815,3122,3312,17328,164,-574,455,good
4095,2913,3058,-4328,18244,3784,1336,-3801,good
4095,2863,3297,10188,12776,1084,1286,7591,good
4071,2595,3355,-1736,16944,1488,643,-2076,good
4053,2748,3333,9300,12752,-536,-2582,2782,good
4052,2737,3310,-2736,20208,-724,-9464,15284,good
4039,2784,3185,-2752,11304,15568,6528,-3616,good
4059,2622,3203,-2364,16668,-2080,7628,1305,good
4049,2682,3125,2932,14324,1888,-29644,5197,good
4043,2750,3196,-4608,15312,1196,23094,4749,good
4063,2711,3088,8916,9584,-7048,846,-5582,good
4066,2895,3133,-2852,17592,1840,-6280,-9582,good
4053,2864,3051,14036,16824,7132,1638,842,good
4050,2813,2919,1132,16020,-488,4517,15879,good
4047,2838,2927,6716,12212,-6920,-3851,-4092,good
4035,2736,2894,-2096,18896,3168,-2752,-3718,good
4041,2693,2923,2160,13536,5704,-2516,-3977,good
4032,2675,2864,216,17288,3864,2240,2799,good
4034,2627,2945,-256,17812,1332,2761,15788,good
4049,2676,3345,5104,13112,-4460,-2845,-2759,good
4095,2914,3063,-2648,19344,2180,3810,-9245,good
4095,2800,3233,2112,13264,-1260,1867,-8979,good
4069,2493,3401,2920,16940,1368,-21,10583,good
4070,2657,3453,-2972,17636,-3568,1528,14094,good
4058,2679,3271,11652,12764,-6116,-1979,-2258,good
4051,2589,3358,-3600,13924,320,-364,-6053,good
4074,2559,3179,5200,17420,2400,-1326,-3647,good
4050,2847,3113,2460,17180,3160,-1183,6747,good
4048,2959,3024,-1436,16700,-256,4266,7643,good
4042,2800,2914,5668,14676,-3012,-2112,-4829,good
4031,2751,3066,-4480,17560,2900,-1306,-497,good
4032,2705,2933,4480,13796,5156,-3785,-2143,good
4038,2823,2957,-1700,17212,-52,1799,7926,good
4023,2527,2870,-684,17248,-644,-93,6589,good
4020,2525,2853,10104,13872,-6072,1966,-3408,good
4082,2284,3612,-2232,18296,68,-1611,-2819,good
4076,2338,3149,2816,15448,196,238,-4438,good
4069,2431,3023,1032,17120,3688,734,7965,good
4065,2452,3021,-1816,15212,-2688,7310,7505,good
4078,2544,2997,5568,13160,-6220,-2812,-3840,good
4053,2501,3029,1696,22064,1136,-4256,-13843,good
4025,2435,3246,-900,12808,3116,-127,-209,good
4037,2512,3120,1208,20796,4452,2321,6057,good
4059,2507,3243,-1948,13220,-3076,5030,12621,good
4062,2443,3233,1212,14648,-4268,-5893,-8445,good
4051,2467,3090,-2600,21056,6380,-16083,6074,good
4067,2541,3344,15752,-6752,3780,-773,6733,good
4053,2830,3083,-960,20988,-2960,14545,11275,good
4078,2715,2967,7924,15128,-4096,-5071,2367,good
4095,2943,3043,7940,15176,15716,-17025,-15675,good
4066,2927,2961,5644,11948,136,21429,-5791,good
4049,2978,2951,4788,20476,-2548,-1841,22352,good
4054,3071,2935,5808,11328,-5712,-130,-32768,good
4067,3066,2957,3260,15080,-4324,-16710,-19088,good
4037,2905,2943,8736,19812,13728,16305,26730,good
4031,2896,2936,-2264,10056,-308,3902,9522,good
4053,2730,3455,-52,18372,-1156,7967,4835,good
4032,2790,3269,8852,13432,-9436,-11376,1768,good
4037,2755,3130,-2924,17296,5332,-10455,5134,good
4016,2727,3029,2028,13832,-220,-20388,-32768,good
4027,2770,3024,13720,14272,-4456,11797,32767,good
4037,2706,3003,-996,18028,1040,5302,12373,good
4031,2779,3154,6628,10444,-10092,3952,-8899,good
4044,3137,3007,-100,18104,1572,-12893,14602,good
4037,2942,3120,9032,15004,2740,-18482,-32768,good
4032,3067,3046,7876,12208,780,24291,-4967,good
4032,3082,3010,11772,15072,-14708,-9517,32767,good
4021,3052,2905,-1520,16948,1564,-4289,25566,good
4028,3071,2902,-4636,16720,6896,19818,-13930,good
4038,3042,3070,4596,7580,-16216,-3446,5056,good
4045,3013,2991,-2060,18636,6256,-15501,-10783,good
4095,2878,2991,7064,16128,-2468,3214,-27871,good
4095,3118,2875,6176,12304,-13436,22591,7879,good
4048,2963,2902,1316,14948,520,-10547,32398,good
4048,2999,2944,-2472,15492,4388,10516,-8429,good
4033,3055,3095,424,11684,-11948,8009,-7809,good
4027,3027,3031,-620,14084,1496,-27297,13772,good
4079,2973,3111,10340,13412,3616,79,-32768,good
4046,2943,2951,3692,16040,-5324,20924,1983,good
4034,3094,2963,2148,15208,328,-4841,32767,good
4031,3056,2949,-2396,17600,3284,-1246,10572,good
4021,3043,2843,-1444,15564,3488,7844,-11619,good
4026,3038,2971,5576,12596,-9028,4628,-14842,good
4047,3071,3011,556,16252,1428,-21562,4252,good
4058,2998,3003,7756,13140,6596,-4268,-32768,good
4048,2979,2942,9456,14172,-2320,12414,-3385,good
4016,2975,2955,6724,14372,-5096,-9893,32767,good
4020,2967,2949,-2408,16252,5232,-5270,21216,good
4020,2979,2870,-4232,16968,1124,6914,-6431,good
4014,2938,2857,4332,13752,-9024,-17104,-32768,good
4011,2961,2879,10388,13384,-1464,-6883,-5135,good
4016,2976,2998,3008,15052,-376,13172,32767,good
4013,2975,2915,-280,17524,2944,-383,18178,good
4011,2943,2873,-3452,16192,4216,-4879,10911,good
4016,2940,2879,-4016,14800,5300,4627,-3876,good
4015,2940,2896,5976,16836,-1048,-1644,-5861,good
4007,2963,2945,4484,15700,2068,-6878,6087,good
4016,2961,2818,4528,13104,9792,-285,-4950,good
4001,2962,2832,6456,13656,2764,-14425,-32768,good
4002,2961,2783,15112,12932,-2192,16306,19524,good
4018,2971,2848,-204,14340,-1388,5785,21452,good
4016,2975,2951,5316,15036,-4108,12668,-11517,good
4033,2930,3381,1804,10292,-11396,2742,-2047,good
4031,3011,3444,1460,15032,3056,-18155,7496,good
4018,3037,3168,5316,14976,9992,-20565,1225,good
4017,2980,3095,12124,6476,10372,14723,-17489,good
4025,2993,3322,684,18268,768,16128,4523,good
4016,2903,3312,6916,13848,-7368,-13031,19959,good
4017,2917,3273,2348,14928,9768,-4450,339,good
4023,2778,3290,-2524,14848,5184,9474,-22062,good
4010,2765,3306,-1496,15908,-5832,1497,10240,good
4011,2813,3271,-3332,15020,1616,-9580,22390,good
3995,2684,3263,4472,14992,6772,6846,-23979,good
4005,2867,3275,3024,19032,-1388,-1410,-7516,good
4016,2883,2934,9732,3552,13256,-66,315,victory
4039,2907,3017,9972,3680,13032,-27,335,victory
4044,2997,3213,9580,4076,13088,624,1302,victory
4031,2988,3488,9360,4604,13176,-855,-126,victory
4017,2995,3229,9468,6184,12216,613,-79,victory
4019,3003,2955,9484,5128,12648,-890,963,victory
4030,2949,3283,9224,6488,12356,-994,-697,victory
4032,3057,3015,9960,4688,12640,1061,1208,victory
4059,3056,2992,10108,5860,12360,182,2144,victory
4042,2956,2865,9888,5900,12612,-784,1091,victory
4048,3059,3041,9480,5972,12540,-519,1030,victory
4033,3070,3088,9260,5732,12440,-491,1125,victory
4029,3050,3177,9292,6492,12512,-196,617,victory
4031,2985,3063,10532,6284,12148,505,-515,victory
4048,2908,2963,10312,5948,11556,-351,729,victory
4029,2881,2939,9908,6628,11840,-143,2035,victory
4031,2915,2861,9724,6708,12056,-83,1307,victory
4017,2895,2865,9680,6220,12232,-954,1085,victory
4016,2909,2882,9148,6344,12512,-519,-349,victory
4014,2870,2864,9976,6420,11948,-546,651,victory
